RECRD,VESSLTERMS,FEATURE_TYPE,LATDEC,LONDEC,GP_QUALITY,DEPTH,SOUNDING_TYPE,YEARSUNK,HISTORY
12196,UNKNOWN,"Submerged, dangerous",17.712142,-64.890128,High,15.1,Fathoms,,"HISTORY
  H09937/81-- OPR-I149-MI/PE/81; LOCAL DIVERS REPORTED EXISTENCE OF WRECK IN ABOUT 100 Feets OF WATER SW OF THE FREDERIKSTED PIER. PRESENT INVESTIGATION WAS TO ASCERTAIN THE LOCATION AND NATURE OF THIS WRECK. WRECK LOCATED DURING STANDARD DEVELOPMENT. DIVERS REPORTED WRECK RESTING IN 97-105 Feets OF WATER IN A SAND PATCH. SURROUNDED BY CORAL, ON A BOTTOM WHICH DROPS OFF RAPIDLY IN A WESTERLY DIRECTION. WRECK IS A WOODEN BOAT, 42 Feets LONG, 18 Feets WIDE. LD ON ENGINE BLOCK OF 91 Feets (15.1 FATHOMS) IN LAT. 17-42-50.53N, LONG. 64-53-26.46W (PUERTO RICO DATUM).  1983 NAD SCALED FROM CHART 25644 IN LAT. 17-42-43.71, LONG. 64-53-24.46W.   ADJACENT BOTTOM DEPTH OF 97 Feets. REMAINDER OF BOAT IS BASICALLY DETERIORATED AND RESTING NO MORE THAN 1 T0 2 Feets OFF THE BOTTOM. NO ASSOCIATED WRECKAGE. HYDROGRAPHER RECOMMENDS NOT CHARTING. HOWEVER IF CHARTING IS CONSIDERED, CHART NON-DANGEROUS WRECK. EVALUATOR DOES NOT CONCUR. RECOMMENDS CHARTING A AS 15.1 WK.  PRESENTLY CHARTED ON CHART 25644 AS A 15 WK WITH BLUE TINT AND DANGER CURVE. NOT PRESENTLYCHARTED ON CHART 25641 (1:100,000-SCALE). (ENT. 2/5/04, SJV)"
4433,UNKNOWN,"Submerged, dangerous",17.752417,-64.695697,High,6,Feets,,"04433
HISTORY
CL1162/70--USPS; VISIBLE WK OF A 80-100 FT MOTORSHIP REPORTED IN LAT 17-45-15N
 LONG 64-41-44.5W                                                             
CL897/74--USPS; VIRGIN ISLAND PORT AUTHORITY REPORTED WK HAS BEEN REMOVED;    
 REVISED TO SUBM PENDING VERIFICATION OR DOCUMENTATION                        
H9929/81--OPR-I149-MI/PE-80; PSR ITEM 11; 5 M DEVELOPMENT REVEALED SNDS 5FT   
 SHOALER THAN SURROUNDING AREA; DIVER INVESTIGATION; OBJECT IS LARGE METAL    
 FRAMEWORK, 20 X 30 FT, POSSIBLY REMAINS OF CRANE BARGE; LEAST DEPTH OF 6 FT; 
 EVALUATOR RECOMMENDS DELETING WK AND ADDING OBSTR IN LAT 17-45-15.8N,        
 LONG 64-41-46W. (ENTERED MSM 5/86)                                           

DESCRIPTION
**** PER TELECON WITH AND LETTER FROM VI PORT AUTHORITY, DATED 6/25/86, NO    
     SALVAGE DOCUMENTATION ON WK IS AVAILABLE; HOWEVER ACCORDING TO TWO PAST  
     MARINE MANAGERS THIS WK WAS REMOVED IN 1972 OR 1973; ALSO ANOTHER WK IS  
     REPORTED IN APPROX THE SAME POSITION AS OBSTR FOUND BY FIELD PARTY; IT   
     IS DESCRIBED AS WOODEN WITH METAL SUPERSTRUCTURE, APPROX 75 FT X 30 FT IN
     10 FT OF WATER (ENTERED MSM 9/86)                                        

SURVEY REQUIREMENTS
NOT ASSIGNED"
4434,UNKNOWN,"Submerged, dangerous",17.754417,-64.702919,Med,0.6,Feets,,"04434
HISTORY
H9929/81--OPR-I149-MI/PE-80; CONCRETE HULL OF A BOAT, APPROXIMATELY 10 X 4 FT;
 IN 4-5 FT WATER, ON ITS SIDE, WITH LEAST DEPTH OF 0.6 FT; HYDROGRAPHER AND   
 EVALUATOR RECOMMEND CHARTING A SUBM DANG WK AT LAT 17-45-23N, LONG 64-42-12W.
 (ENTERED MSM 5/86)                                                           

SURVEY REQUIREMENTS
NOT ASSIGNED"
11819,UNKNOWN,"Submerged, dangerous",17.931778,-66.259333,High,26,Feets,,"HISTORY
  H11035/01-- OPR-I305-WH; UNCHARTED DANGEROUS SUNKEN WRECK LOCATED IN LAT. 17-55-54.4N,  LONG. 66-15-33.6W.  EVALUATOR RECOMMENDS CHARTING A 26WK AS SURVEYED. SEE ALSO AWOIS NO.11014. (ENT 3/28/03, SJV)"
11014,UNKNOWN,"Submerged, dangerous",17.932192,-66.260378,High,20,Feets,,"HISTORY
  CL1985/68-- USPS TO NOS (USESSA); SUNKEN SAILBOAT REPORTED TO EXIST IN APPROX. POSITION LAT. 17-56-08N, LONG. 66-15-37W. OBSERVED ON 12/7/68 AT 10:00AM. SAILBOAT IS TWO-MASTED; ONE MAST BROKEN OFF AT WATER LEVEL SECOND MAST ABOUT TO BREAK OFF AT WATER LEVEL AT PRESENT TIME.   WRECK LOCATED BY USING RANGE OF BUOY  RN ""4"" AND LIGHT ""3"" (SIC)  INTERSECTING WITH ANOTHER RANGE USING CAYO MORRILLO AND AN UNNAMED ISLAND (5TH EDITION OF CHART 25687 ( OLD NUMBER 909).  NOTE: SHORELINE AND AIDS HAVE BEEN REVISED SINCE THIS LETTER WAS RECEIVED IN 1968 (N""4"" & LIGHT ""3"" NO LONGER CHARTED).  REPORTED BY  J. HESS, SAN JUAN, SAN JOAQUIN B-7, RIO PIEDRAS 00926 AND J. MARKELL, 214 GEN. DELVALLE, SAN TURCE, P.R.  TELEPHONE 767-2044.
  NM4/69-- WEST INDIES-PUERTO RICO-SOUTH COAST-BAHIA DE JOBOS-WRECK REPORTED; A SUNKEN SAILBOAT IS REPORTED TO EXIST NORTH OF CAYOS DE PA'JAROS IN APPROX. POSITION LAT. 17-56-06N, LONG. 66-15-38W. 
  CL1015/87-- USPS TO NOS, INVESTIGATION ON 8/10/87; ; SUNKEN SHIP (SIC) TOTALLY DISINTEGRATED. NO LONGER A HAZARD.  REPORTED BY JORGE HESS, DIST. 50 (PONCE, PR)  1890 SAN JOAQUIN, RIO PIEDRAS, PR, 00926. TELEPHONE 809-767-2044.  CHARTED SUBMERGED WRECK, PA REVISED TO ED. (ENT 4/5/01, SJV)
  H11035/01-- OPR-I305-WH; HYDROGRAPHER STATES THAT 50% OF SEARCH AREA TOO SHOAL FOR LAUNCH OPS. ADDS THAT ""ITEM WAS NOT SUFFICIENTLY DEVELOPED.""  ONE SIGNIFICANT CONTACT FOUND THAT RESEMBLED A WRECK IN LAT. 17-55-58.88N, LONG. 66-15-36.60W. IDENTIFICATION AS A WRECK WAS NOT VERIFIED.  EVALUATOR RECOMMENDS CHARTING A 20-FOOT DANGEROUS SUNKEN WRECK AND THE NOTATION ""WKS"" AS SURVEYED.  DELETE THE CHARTED DANGEROUS SUNKEN WRECK ED.  SEE ALSO AWOIS NO. 11819. (UP 3/28/03, SJV)"
11762,UNKNOWN,"Submerged, dangerous",17.945089,-66.627319,High,21,Feets,,"HISTORY
  11036/01-- OPR-I305-WH; UNCHARTED WRECK LOCATED BY SIDE SCAN SONAR.  DIVERS  GAUGE OBTAINED A LD OF 21 Feets (6.54 METERS) IN LAT. 17-56-42.32N, LONG. 66-37-38.35W. SWMB DEPTH OF 22 Feets (6.83 METERS). DIVERS DESCRIBE A WRECK ESTIMATED AS 150-200 Feets I N LENGTH.  IT IS A RIVETED STEEL VESSEL WITH STARBOARD SIDE LYIJNG ON A REEF. INTERIOR SEVERELY DETERIORATED.  REMAINDER OF HULL IS KEEL DOWN WITH DETERIORATING PLATING EXTENDING FROM THE BOTTOM. ONE PIECE OF TRANSVERSE FRAMING PROTRUDES A SIGNIFICANT DISTANCE UPWARD.  TWO BOILERS ARE LOCATED IN WHAT WAS ESTIMATED TO BE THE FORMER ENGINE ROOM AREA. LEAST DEPTHS ARE THE UPWARD CORNER OF THE PORT BOW AND THE TOP OF THE FRAMING.  BOW OF VESSEL HEADS 305 DEG.  THE EVALUATOR RECOMMENDS CHARTING A 21 WK AS SURVEYED. (ENT 2/20/03, SJV)"
14733,WRECK,"Submerged, nondangerous",18.225192,-65.187431,Poor,15,Fathoms,1983,"LNM 5/77. Wreck PA, 165 FT barge sunk in 1977, currently charted at: 18-13-30.69N / 65-11-14.75W. Position and existence of wreck is doubtful, develop with multibeam for position and least depth. (PTT, 1/7/10)
  H12171, M-I907-NF-10. AWOIS Item #14733 was investigated with complete MB. Charted nondangerous wreck PA REMOVED. Charted non-dangerous wreck,least depth 15 fathons at survey position 18° 13' 38.4"" N / 065° 11' 15.1"" W. (PTT, 8/5/2011)"
15194,OBSTRUCTION,"Submerged, nondangerous",18.249556,-64.938806,High,33.65,Meters,,"M-I907-NF-11: 18fm wreck identified in 33.65 m water depth at 18deg 14'58.4""N, 064deg 56'19.7""W. Ent 6/3/2014"
15195,OBSTRUCTION,"Submerged, nondangerous",18.252917,-64.926639,High,36.89,Meters,,"M-I907-NF-11: 20fm wreck identified in 36.89 m water depth at 18deg 15'10.5""N, 064deg 55'35.9""W. Requested to be charted as sounding rather than wreck during SHPO inquiry. Ent 6/3/2014."
15192,OBSTRUCTION,"Submerged, nondangerous",18.253222,-64.977833,High,32.79,Meters,,"M-I907-NF-11: 18fm wreck identified in 32.79 m water depth at 18deg 15'11.6""N, 064deg 58'40.2""W. Ent 6/3/2014"
15191,OBSTRUCTION,"Submerged, nondangerous",18.2553,-65.0126,High,36.54,Meters,,"M-I907-NF-11: 20fm wreck identified in 36.54 m water depth at 18deg 15'19.2""N, 065deg 00'45.2""W. Requested to be charted as sounding rather than wreck during SHPO inquiry. Ent 6/3/2014"
15193,OBSTRUCTION,"Submerged, nondangerous",18.261361,-64.94125,High,32.15,Meters,,"M-I907-NF-11: 17fm wreck identified in 32.15 m water depth at 18deg 15'40.9""N, 064deg 56' 28.5""W. Ent 6/3/2014."
15190,OBSTRUCTION,"Submerged, nondangerous",18.2701,-65.0178,High,29.36,Meters,,"M-I907-NF-11: 15 fm wreck identified in 29.36 m water depth at 18 deg 16 min 12.7 sec N, 065 deg 01 min 4 sec W. Ent: 6/3/2014"
